seller_id,seller_zip_code_prefix,seller_city,seller_state
1f7fd2a6fcd5a6fa5d8a4dabc72aaae0,95800,venancio aires,RS
6e1862e15f33d9994bc25922a85e1efc,13505,rio claro,SP
e628d4a53c109f09ca88098338b3a3f5,30170,belo horizonte,MG
0249d282d911d23cb8b869ab49c99f53,5676,sao paulo,SP
bdae679a9b282249bc23b9b69dae9a99,72210,brasilia,DF
58e4b302b54937e55a678c4d15111da4,83402,colombo,PR
c3e1abd72a42fe690fcd89cf5720fe29,13840,mogi guacu,SP
aaed1309374718fdd995ee4c58c9dfcd,89120,timbo,SC
33dd941c27854f7625b968cc6195a552,29107,vila velha,ES
1d953075c2f0dd990bacf27b83b330f1,30421,belo horizonte,MG
9803a40e82e45418ab7fb84091af5231,75901,rio verde,GO
88ae906ea2acf6971f26c3e8b7cb4357,1550,sao paulo,SP
39d61be7a92eb77b7da367bd4845bc0e,13420,sao paulo,SP
6b1c4d4d9ccf0be3d8544eb0e71e5318,91130,porto alegre,RS
422be4cc81a457fdb46f47edeb968ae5,14940,ibitinga,SP
5b97c06a046398e7005b2b7c0d707a92,38770,joao pinheiro,MG
e4253cef933647000a82ff39c67b7bde,5856,sao paulo,SP
7586919161935337bf6b6d7ff5779648,21921,rio de janeiro,RJ
c33a5c3c983090c8b78a28e65052a20d,88802,criciuma,SC
71271995e85f5b8530be99ed54a91b89,91360,porto alegre,RS
50c361bcf670d16f6df4d52de3dff924,4131,sao paulo,SP
5a8e7d5003a1f221f9e1d6e411de7c23,13076,campinas,SP
48162d548f5b1b11b9d29d1e01f75a61,13403,piracicaba,SP
7daca0837f033a41a6f3428c18657533,15170,tanabi,SP
80ceebb4ee9b31afb6c6a916a574a1e2,86026,londrina,PR
270d3ef21830ad0ecf3a6c53d08a533a,6380,carapicuiba,SP
700f03c207639c22d933381ff60b35c2,14784,barretos,SP
818d28f936e791926d33bcb6ee94ef79,4141,sao paulo,SP
fe87f472055fbcf1d7e691c00b1560dc,13085,campinas,SP
b8578d2d823bd8e251f6fdd02b40902d,89069,blumenau,SC
